No sé si este invierno volveré (poemas de viaje),"Elordi, Santiago",Poesía,
Dramatis Personae,"Río, Alejandra del",Poesía,
No hay amor como esta herida,"Hahn, Óscar",Poesía,
Capuchita negra (cca. 1985-1989),"Río, Alejandra del",Poesía,
La nieve,"Iommi Amunátegui, Godofredo",Poesía,
Lo uno o lo otro,"Aranda, Natalí ",Poesía,
Vidas robadas,"Ozuljevic Subaique, Ashle ",Poesía,
El criollo en su destierro: dos anotaciones,"Uribe Arce, Armando",Poesía,
Polvo de ladrillo,"Urzúa de la Sotta, Andrés ",Novela,
80 días,"Pinos, Jaime; Díaz, Alexis",Arte,
Parpadeo,"Evelson, Martín ",Narrativa,
Romancero gitano,"García Lorca, Federico ",Teatro,
La epopeya de Gilgamesh,Anónimo ,Narrativa,
Cartas a un joven poeta. Elegías de Diuno,"Rilke, Rainer María",Narrativa,
El libro de los cinco anillos,"Musashi, Miyamoto ",Ensayo,
Fragmentos escogidos,"Bertoni, Claudio",Poesía,
Cuando Valparaíso se asomó al siglo XIX,"Garrido Álvarez de la Rivera, Eugenia ",Ensayo (Historia),
Curauma,"Cuevas Bravo, Rafael ",Poesía,
El memorial de hombres que me amaron,"Fressia, Alfredo ",Poesía,
Curauma,"Cuevas Bravo, Rafael ",Poesía,
Archipiélago,"Milla, María Belén ",Poesía,
Trópico ,"Malebrán, Juan ",Poesía,
Matute,"Ramos Bañados, Rodrigo ",Narrativa,
Coto de caza,"González Barnet, Ernesto ",Poesía,
Una bellezas vulgar,"Tabarovsky, Damián",Narrativa,*
Conozco al mundo por la forma,"López Zumelzu, Víctor ",Poesía,
En el coto de la mente ,"Germán Belli, Carlos ",Poesía,
Conversaciones con Mario Levrero,"Silva Olazábal, Pablo",Ensayo,V
Lengua acéfala: eco & narciso,"Muñoz, Sergio; Cereño, Gabriel",Poesía,
Salido de madre: Antología poética,"Binss, Niall",Poesía,
Los surfistas y otros poemas,"López Zumelzu, Víctor ",Poesía,
Furia diamante,"Tentoni, Valeria",Poesía,
Correspondencia reunida (1917-1958),"Hernández, Felisberto ",Narrativa (cartas),
Encuentros y desencuentros de la izquierda latinoamericana: Una mirada desde el foro de São Paulo,"Regalado, Roberto ",Ensayo,
2010 2: De la raíz a los frutos,"Arregui, Cristián ",Poesía,
"40 años, 40 historias: Exiliados chilenos y solidaridad en Holanda","Kievid, Jan de (y otros 7)",Narrativa,
El capital I: Crítica de la Economía Política,"Marx, Karl ",Filosofía,
El capital II: Crítica de la Economía Política,"Marx, Karl ",Filosofía,
El capital III: Crítica de la Economía Política,"Marx, Karl ",Filosofía,
Historietas reunidas de Jorge Varlotta ,"Levrero, Mario ",Narrativa,
La vida no es útil,"Krenak, Ailton ",Ensayo (filosofía),
"Unas pocas palabras, un pequeño refugio","Bernard, Kenneth ",Ensayo,
Crónica de San Gabriel,"Ribeyro, Julio Ramón ",Narrativa,
"Nada que hacer, monsieur Baruch, y otros relatos","Ribeyro, Julio Ramón ",Narrativa,
Cuentos ,"Ribeyro, Julio Ramón ",Narrativa,
Inri,"Zurita, Raúl ",Poesía,
Poemas escogidos ,"Byron, Lord ",Poesía,
Habitaciones separadas (20 años sí es algo),"García Montero, Luis ",Poesía,
A sangre fría,Truman Capote,Narrativa,
Split: El chico que se declaraba con la mirada / Symbol,"Santibañez, Roger ",Poesía,
Los hijos suicidas de Gabriela Mistral: Antología poética de jóvenes del Valle del Elqui,"Lamm, Leonidas",Poesía,
Los lanzallamas,"Arlt, Roberto ",Narrativa,
Los siete locos,"Arlt, Roberto ",Narrativa,
Lluscuma,"Baradit, Jorge ",Narrativa,
Donde las mujeres,"Pombo, Álvaro ",Narrativa,
El empleado,"Hartley, L.P. ",Narrativa,
La casa de la belleza,"Escobar de Nogales, Melba ",Novela,
El deseo junto al aire frío y otros poemas,"Muñoz, Juan Antonio",Poesía,
Acerca de esto,"Mayakovsky, Vladímir",Poesía,
"Hasta que valga la pena vivir, 2016-2019 ","Inostroza Bidart, Alvaro",Poesía,
La bandera de Chile,"Hernández, Elvira",Poesía,
Madariaga y otros,"Mellado, Marcelo",Narrativa,
Ulupica: Trece poetas bolivianos actuales,"González, Gladys; Malebrán, Juan ",Poesía,
"Teatro de sombras, Asia-Europa-Chile","Maturana, Carmen Luz ",Ensayo (teatro),
Cuaderno de croquis,"Martinez, Rolando ",Poesía,
